CONNECTIONS
MS name 	Connected BS 
MS1 	 	 FBS3
MS2 	 	 FBS1
MS3 	 	 FBS1
MS4 	 	 FBS3
MS5 	 	 FBS1
MS6 	 	 FBS3
MS7 	 	 FBS4
MS8 	 	 FBS1
MS9 	 	 FBS3
MS10 	 	 FBS3
MS11 	 	 FBS2
MS12 	 	 FBS2
MS13 	 	 FBS1
MS14 	 	 FBS1
MS15 	 	 FBS4
MS16 	 	 FBS1
MS17 	 	 FBS1
MS18 	 	 FBS2
MS19 	 	 FBS1
MS20 	 	 FBS3
MS21 	 	 FBS4
MS22 	 	 FBS2
MS23 	 	 FBS2
MS24 	 	 FBS2
MS25 	 	 FBS3
MS26 	 	 FBS1
MS27 	 	 FBS3
MS28 	 	 FBS1
MS29 	 	 FBS2
MS30 	 	 FBS2
MS31 	 	 FBS2
MS32 	 	 FBS3
MS33 	 	 FBS4
MS34 	 	 FBS4
MS35 	 	 FBS3
MS36 	 	 FBS4
MS37 	 	 FBS1
MS38 	 	 FBS4
MS39 	 	 FBS2
MS40 	 	 FBS3
MS41 	 	 FBS1
MS42 	 	 FBS3
MS43 	 	 FBS2
MS44 	 	 FBS2
MS45 	 	 FBS4
MS46 	 	 FBS4
MS47 	 	 FBS4
MS48 	 	 FBS2
MS49 	 	 FBS3
MS50 	 	 FBS2
MS51 	 	 FBS1
MS52 	 	 FBS1
MS53 	 	 FBS1
MS54 	 	 FBS3
MS55 	 	 FBS1
MS56 	 	 FBS2
MS57 	 	 FBS3
MS58 	 	 FBS3
MS59 	 	 FBS4
MS60 	 	 FBS4
MS61 	 	 FBS4
MS62 	 	 FBS3
MS63 	 	 FBS3
MS64 	 	 FBS1
MS65 	 	 FBS3
MS66 	 	 FBS2
MS67 	 	 FBS1
MS68 	 	 FBS1
MS69 	 	 FBS4
MS70 	 	 FBS4
MS71 	 	 FBS4
MS72 	 	 FBS3
MS73 	 	 FBS1
MS74 	 	 FBS4
MS75 	 	 FBS1
MS76 	 	 FBS2
MS77 	 	 FBS1
MS78 	 	 FBS4
MS79 	 	 FBS4
MS80 	 	 FBS2
MS81 	 	 FBS3
MS82 	 	 FBS2
MS83 	 	 FBS2
MS84 	 	 FBS1
MS85 	 	 FBS1
MS86 	 	 FBS4
MS87 	 	 FBS4
MS88 	 	 FBS3
MS89 	 	 FBS3
MS90 	 	 FBS2
MS91 	 	 FBS1
MS92 	 	 FBS4
MS93 	 	 FBS4
MS94 	 	 FBS3
MS95 	 	 FBS1
MS96 	 	 FBS3
MS97 	 	 FBS3
MS98 	 	 FBS1
MS99 	 	 FBS4
MS100 	 	 FBS4
--------------------------------

